"118.Horana Royal College, Horana",","
"119.Taxila Central College, Horana",","
"120.Sri Palee College, Horana",","
"121.Bandaragama National School, Bandaragama",","
"122.Bulathsinhala Central College, Bulathsinhala",","
"123.Ananda Sastralaya, Matugama",","
"124.C. W. W. Kannangara Madya Maha Vidyalaya, Mathugama",","
125.Panadura Royal College,","
126.Agamathi Balika Vidyalaya Panadura,","
"127.Gnanodaya Maha Vidyalaya, Kalutara South",","
"128.Gurulugomi Maha Vidyalaya, Kalutara North",","
"129.Muslim Central College, Kalutara South",","
"130.Katukurunda Dharmapala Maha Vidyalaya, Katukurunda",","
"131.Al Faharia Muslim Central College, Pandura",","
"132.Jeelan Central College, Pandura",","
"133.Mahanama College, Pandura",","
"134.Pandura Balika Maha Vidyalaya, Pandura",","
"135.Wadduwa Madhya Maha Vidyalaya, Wadduwa",","
"136.Sri Gnanissara Maha Vidyalaya, Dharga Town",","
"137.Naleem Hajiar Muslim Balika Vidyalaya, Beruwala",","
"138.Zam Refai Hajiar Maha Vidyalaya, Beruwala",","
"139.Pothuwila Maha Vidyalaya, Payagala",","
"140.Zahira Muslim Maha Vidyalaya, Dharga Town",","
"141.Bombuwala Sri Dharmaloka Maha Vidyalaya, Bombuwala",","
"142.Don Pedrick Maha Vidyalaya, Horana",","
"143.Prajapathi Balia Maha Vidyalaya, Horana",","
"144.Sri Medhankara Maha Vidyalaya, Horana",","
"145.Gamini Madhya Maha Vidyalaya, Ingiriya",","
"146.Palannoruwa Central College, Gonapola Junction",","
"147.Sri Saddhatissa Maha Vidyalaya, Bandaragama",","
"148.Wewita Maithree Maha Vidyalaya, Bandaragama",","
"149.Warakagoda Maha Vidyalaya, Neboda",","
"150.St. Mary's College, Matugama",","
"151.Walagedara Maha Vidyalaya, Walagedara",","
"152.Mihindu Madhya Maha Vidyalaya, Agalawatta",","
"153.Kamburawala Maha Vidyalaya, Baduraliya",","
"154.Colvin R. De Silva maha Vidyalaya, Ittapana",","
"155.Meril Kariyawasam Madhya Maha Vidyalaya, Meegahathenna",","
"156.Bishop's College, Colombo",","
"157.Burhani Serandib School, Colombo",","
"158.Buddhist Ladies' College, Colombo",","
"159.Carey College, Colombo, Colombo",","
"160.Ladies' College, Colombo",","
"161.Convent of Our lady of Victories, Moratuwa",","
"162.Elizabeth Moir School, Colombo",","
"163.Good Shepherd Convent, Colombo",","
164.Gateway College Dehiwala,","
165.Gateway College Colombo,","
"166.Hindu Ladies College, Colombo",","
"167.Holy Family Convent, Bambalapitiya",","
"168.Holy Family Convent, Dehiwela",","
"169.Kanza College, Colombo",","
"170.Kebel College, Nugegoda",","
"171.Logos College, Colombo",","
"172.Louvre College, Pannipitiya",","
"173.Louvre College, Nugegoda",","
"174.Methodist College, Colombo",","
"175.Musaeus College, Colombo",","
"176.NCEF Buddhist College, Mulleriyawa",","
"177.Spectrum College, Mount Lavinia",","
"178.St. Lawrence's Convent, Colombo",","
"179.St. Benedict's College, Colombo",","
"180.Minasro College, Pelawatta, Mathugama",","
"181.St. Peter's College, Colombo",","
"182.St. Sebastian's College, Moratuwa",","
"183.St. Bridget's Convent, Colombo",","
"184.St. Thomas' College, Mount Lavinia",","
"185.Sujatha Vidyalaya, Nugegoda",","
"186.St. Joseph's Boys' College, Nugegoda",","
"187.Sussex College, Nugegoda",","
"188.Springfield College, Colombo",","
"189.Highlands College, Maharagama",","
"190.Vidura College, Nawala",","
"191.Wesley College, Colombo",","
"192.Al Manar International School, Colombo",","
"193.Alexor International School, Colombo",","
"194.Amal International School, Colombo",","
"195.Apple International School, Colombo",","
"196.Asian International School, Colombo",","
"197.ACE Institute International School, Colombo",","
"198.Belvoir College International, Colombo",","
"199.Bond International School, Colombo",","
"200.Brightens International School, Colombo",","
"201.Buckingham International School, Colombo",","
"202.Brisbane International School, Nugegoda",","
203.British School in Colombo,","
"204.Cambridge International School, Colombo",","
"205.Campbell International School, Colombo",","
"206.Campbell International School, Kotikawatta",","
"207.Colombo International School, Colombo",","
"208.Crescent Schools International, Colombo",","
"209.Crescent Schools International, Wellampitiya",","
"210.Colombo South International College, Nugegoda",","
"211.Dhilshaath International College, Dematagoda",","
"212.East Asian International College, Nugegoda",","
"213.Eskola International School, Colombo",","
"214.Global International School, Colombo",","
"215.Green Bridge International College, Kolonnawa",","
"216.Guidance International School, Piliyandala",","
"217.Harcourts International School, Dehiwala",","
"218.Hejaaz International School, Mount Lavinia",","
"219.Horizon College International, Malabe",","
"220.Horizon College International, Nugegoda",","
"221.Hilburn International School, Avissawella",","
"222.Ikra International School, Colombo",","
"223.Ikra International School, Kolonnawa",","
"224.Ilma International Girls' School, Colombo",","
"225.J.M.C. International School, Colombo",","
"226.J.M.C. International School, Kaduwela",","
"227.J.M.C. International School, Maharagama",","
"228.J.M.C. International School, Mulleriyawa",","
"229.Kingston College International, Wellawatta",","
"230.Kingston College International, Colombo",","
"231.Kingston College International, Mount Lavinia",","
"232.Lakeland International American School, Ratmalana",","
"233.Lead the Way Girls' International, Dehiwala",","
"234.Leeds International School, Piliyandala",","
"235.Liberty International School, Colombo",","
"236.Liberty International School, Ethul Kotte",","
"237.Lyceum International School, Nugegoda",","
"238.Linfield International School, Mortuwa",","
"239.Linfield International School, Piliyandala",","
"240.Linfield International School, Pannipitiya",","
"241.Linfield International School, Godagama",","
"242.M.D Gunasena International School, Colombo",","
"243.Mysticle Rose Institute International School, Ethulotte",","
"244.Readway International College of Education, Dematagoda",","
"245.Royal Institute International School, Nugegoda",","
"246.Royal Institute International School, Colombo",","
"247.Royal Institute International School, Maharagama",","
"248.School of Arts and Science, Colombo",","
"249.Stafford International School, Colombo",","
"250.Wycherley International School, Colombo",","
